time,"V(B1|XDUT)","V(B2|XDUT)","P(B1|XDUT)","P(B2|XDUT)"
3.060000e-11,-2.406179e-05,-2.625290e-05,7.085878e+00,7.085470e+00
3.070000e-11,-2.849748e-05,-3.223913e-05,7.078022e+00,7.076721e+00
3.080000e-11,-3.089727e-05,-3.579881e-05,7.069145e+00,7.066553e+00
3.090000e-11,-3.123259e-05,-3.675996e-05,7.059859e+00,7.055717e+00
3.100000e-11,-2.960241e-05,-3.513441e-05,7.050767e+00,7.044988e+00
3.110000e-11,-2.622055e-05,-3.111425e-05,7.042425e+00,7.035108e+00
3.120000e-11,-2.139665e-05,-2.505527e-05,7.035310e+00,7.026740e+00
3.130000e-11,-1.551196e-05,-1.744831e-05,7.029796e+00,7.020416e+00
3.140000e-11,-8.991791e-06,-8.880593e-06,7.026137e+00,7.016509e+00
3.150000e-11,-2.276395e-06,9.825199e-09,7.024456e+00,7.015209e+00
3.160000e-11,4.207600e-06,8.582684e-06,7.024748e+00,7.016514e+00
3.170000e-11,1.007328e-05,1.624314e-05,7.026886e+00,7.020239e+00
3.180000e-11,1.499535e-05,2.248438e-05,7.030636e+00,7.026036e+00
3.190000e-11,1.872665e-05,2.692184e-05,7.035679e+00,7.033421e+00
3.200000e-11,2.110845e-05,2.931660e-05,7.041636e+00,7.041822e+00
3.210000e-11,2.207436e-05,2.958654e-05,7.048094e+00,7.050615e+00
3.220000e-11,2.164811e-05,2.780515e-05,7.054631e+00,7.059179e+00
3.230000e-11,1.993594e-05,2.418889e-05,7.060849e+00,7.066934e+00
3.240000e-11,1.711460e-05,1.907479e-05,7.066388e+00,7.073382e+00
3.250000e-11,1.341614e-05,1.289080e-05,7.070953e+00,7.078143e+00
3.260000e-11,9.110734e-06,6.121242e-06,7.074320e+00,7.080970e+00
3.270000e-11,4.488637e-06,-7.297648e-07,7.076351e+00,7.081765e+00
3.280000e-11,-1.575664e-07,-7.174461e-06,7.076996e+00,7.080576e+00
3.290000e-11,-4.549668e-06,-1.277491e-05,7.076290e+00,7.077592e+00
3.300000e-11,-8.438693e-06,-1.717174e-05,7.074345e+00,7.073119e+00
3.310000e-11,-1.161738e-05,-2.010645e-05,7.071343e+00,7.067555e+00
3.320000e-11,-1.392981e-05,-2.143608e-05,7.067521e+00,7.061358e+00
3.330000e-11,-1.527793e-05,-2.113921e-05,7.063152e+00,7.055010e+00
3.340000e-11,-1.562466e-05,-1.931317e-05,7.058531e+00,7.048982e+00
3.350000e-11,-1.499362e-05,-1.616263e-05,7.053953e+00,7.043699e+00
3.360000e-11,-1.346547e-05,-1.198048e-05,7.049699e+00,7.039511e+00
3.370000e-11,-1.117114e-05,-7.122701e-06,7.046019e+00,7.036672e+00
3.380000e-11,-8.282364e-06,-1.979180e-06,7.043114e+00,7.035325e+00
